THRESHOLD,VOL_SCALE_WEIGHTS,SECTOR_CAP_PCT,MAX_POSITIONS,REBALANCE_EVERY,TRAIN_WINDOW_DAYS,COST_BPS,EXCLUDE_TICKERS,days,sharpe,mean_daily_ret_%,vol_daily_%,max_drawdown_%,avg_turnover_%,avg_n_longs,avg_hit_rate_%,overall_ret_%
0.5,False,0.35,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.19428681614390694,0.010389572462779733,0.8492234414238202,-17.18722662779619,59.28774089711,67.85130970724191,51.26597407031657,9.221164900410184
0.5,False,1.0,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.19428681614390694,0.010389572462779733,0.8492234414238202,-17.18722662779619,59.28774089711,67.85130970724191,51.26597407031657,9.221164900410184
0.5,False,0.35,40,1,504,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.19373640021827057,0.011447252575677315,0.9383344644414973,-23.838412612491926,80.55887369045558,38.815100154083204,51.64812651144602,9.645433666359015
0.5,True,1.0,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.18853497161230146,0.009380904932319042,0.7901698297798767,-16.54349741755182,79.4042375449912,37.592449922958394,51.45015310381833,8.465963447203473
0.5,False,1.0,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.18647367570850312,0.010674825089369448,0.9090983398832471,-17.140610187912912,76.96543143063731,37.592449922958394,51.45015310381833,8.87590733364727
0.5,True,0.25,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.18628944550710552,0.008878161959537103,0.756837150499358,-16.08517589998679,57.8076201229485,67.85130970724191,51.26597407031657,8.125905592807214
0.5,True,0.35,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.18628944550710552,0.008878161959537103,0.756837150499358,-16.08517589998679,57.8076201229485,67.85130970724191,51.26597407031657,8.125905592807214
0.5,True,1.0,80,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.18628944550710552,0.008878161959537103,0.756837150499358,-16.08517589998679,57.8076201229485,67.85130970724191,51.26597407031657,8.125905592807214
0.5,True,0.35,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.18407380787236288,0.009145432815541947,0.789005254976032,-16.486848235764587,79.61832046113567,37.590138674884436,51.44242613335442,8.147804214970499
0.5,False,0.35,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.17770006967935886,0.010160680856138775,0.9080355276808872,-17.288495076951506,77.1880411135503,37.590138674884436,51.44242613335442,8.165228446423733
0.5,True,1.0,40,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.1540716721382367,0.007745288363144177,0.7983299529870387,-16.616716851893372,79.00604169332003,37.64175654853621,51.30640676579126,6.101305655073941
0.5,False,1.0,40,1,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.15367602174469466,0.008868155521217155,0.9164205514847378,-17.322085872027333,76.62619077885032,37.64175654853621,51.30640676579126,6.26476420216433
0.5,True,0.25,40,5,252,2.0,"{'QQQ', 'XLV', 'XLF', 'XLI', 'DIA', 'XLC', 'XLY', 'XLB', 'XLP', 'XLRE', 'IWM', 'XLK', 'SPY', 'XLE', 'XLU'}",1298,0.15319664813071568,0.007515273736345724,0.7790461206474409,-18.89523933714562,79.58441234658261,37.57395993836672,51.36132028793183,5.99117670365219
