date,value,series
2015-08-19,2.12,US10Y
2015-08-20,19.14,VIX
2015-08-20,2.09,US10Y
2015-08-20,0.69,US2Y
2015-08-21,2.05,US10Y
2015-08-21,28.03,VIX
2015-08-21,0.64,US2Y
2015-08-24,2.01,US10Y
2015-08-24,40.74,VIX
2015-08-24,0.59,US2Y
2015-08-25,2.12,US10Y
2015-08-25,36.02,VIX
2015-08-25,0.67,US2Y
2015-08-26,2.18,US10Y
2015-08-26,30.32,VIX
2015-08-26,0.67,US2Y
2015-08-27,26.1,VIX
2015-08-27,0.68,US2Y
2015-08-27,2.18,US10Y
2015-08-28,0.72,US2Y
2015-08-28,2.19,US10Y
2015-08-28,26.05,VIX
2015-08-31,0.74,US2Y
2015-08-31,2.21,US10Y
2015-08-31,28.43,VIX
2015-09-01,0.7,US2Y
2015-09-01,2.17,US10Y
2015-09-01,31.4,VIX
2015-09-02,0.72,US2Y
2015-09-02,2.2,US10Y
2015-09-02,26.09,VIX
2015-09-03,0.71,US2Y
2015-09-03,25.61,VIX
2015-09-03,2.18,US10Y
2015-09-04,27.8,VIX
2015-09-04,2.13,US10Y
2015-09-04,0.71,US2Y
2015-09-07,,VIX
2015-09-07,,US10Y
2015-09-07,,US2Y
2015-09-08,2.2,US10Y
2015-09-08,0.74,US2Y
2015-09-08,24.9,VIX
2015-09-09,0.75,US2Y
2015-09-09,26.23,VIX
2015-09-09,2.21,US10Y
2015-09-10,0.75,US2Y
2015-09-10,24.37,VIX
2015-09-10,2.23,US10Y
2015-09-11,0.71,US2Y
2015-09-11,2.2,US10Y
2015-09-11,23.2,VIX
2015-09-14,2.18,US10Y
2015-09-14,24.25,VIX
2015-09-14,0.73,US2Y
2015-09-15,2.28,US10Y
2015-09-15,22.54,VIX
2015-09-15,0.82,US2Y
2015-09-16,2.3,US10Y
2015-09-16,21.35,VIX
2015-09-16,0.82,US2Y
2015-09-17,2.21,US10Y
2015-09-17,21.14,VIX
2015-09-17,0.7,US2Y
2015-09-18,2.13,US10Y
2015-09-18,0.69,US2Y
2015-09-18,22.28,VIX
2015-09-21,0.72,US2Y
2015-09-21,20.14,VIX
2015-09-21,2.2,US10Y
2015-09-22,0.69,US2Y
2015-09-22,22.44,VIX
2015-09-22,2.14,US10Y
2015-09-23,22.13,VIX
2015-09-23,2.16,US10Y
2015-09-23,0.7,US2Y
2015-09-24,2.13,US10Y
2015-09-24,0.67,US2Y
2015-09-24,23.47,VIX
2015-09-25,2.17,US10Y
2015-09-25,0.7,US2Y
2015-09-25,23.62,VIX
2015-09-28,2.1,US10Y
2015-09-28,27.63,VIX
2015-09-28,0.67,US2Y
2015-09-29,26.83,VIX
2015-09-29,0.64,US2Y
2015-09-29,2.05,US10Y
2015-09-30,24.5,VIX
2015-09-30,0.64,US2Y
2015-09-30,2.06,US10Y
2015-10-01,22.55,VIX
2015-10-01,0.64,US2Y
2015-10-01,2.05,US10Y
2015-10-02,20.94,VIX
2015-10-02,0.58,US2Y
2015-10-02,1.99,US10Y
2015-10-05,0.61,US2Y
2015-10-05,2.07,US10Y
2015-10-05,19.54,VIX
2015-10-06,2.05,US10Y
2015-10-06,0.61,US2Y
2015-10-06,19.4,VIX
2015-10-07,2.08,US10Y
2015-10-07,0.65,US2Y
2015-10-07,18.4,VIX
2015-10-08,0.65,US2Y
2015-10-08,17.42,VIX
2015-10-08,2.12,US10Y
2015-10-09,17.08,VIX
2015-10-09,2.12,US10Y
2015-10-09,0.65,US2Y
2015-10-12,16.17,VIX
2015-10-12,,US10Y
2015-10-12,,US2Y
2015-10-13,17.67,VIX
2015-10-13,0.64,US2Y
2015-10-13,2.06,US10Y
2015-10-14,0.57,US2Y
2015-10-14,1.99,US10Y
2015-10-14,18.03,VIX
2015-10-15,0.61,US2Y
2015-10-15,2.04,US10Y
2015-10-15,16.05,VIX
2015-10-16,0.61,US2Y
2015-10-16,2.04,US10Y
2015-10-16,15.05,VIX
2015-10-19,0.61,US2Y
2015-10-19,2.04,US10Y
2015-10-19,14.98,VIX
2015-10-20,0.66,US2Y
2015-10-20,15.75,VIX
2015-10-20,2.08,US10Y
2015-10-21,16.7,VIX
2015-10-21,2.04,US10Y
2015-10-21,0.64,US2Y
2015-10-22,14.45,VIX
2015-10-22,2.04,US10Y
2015-10-22,0.61,US2Y
2015-10-23,2.09,US10Y
2015-10-23,0.66,US2Y
2015-10-23,14.46,VIX
2015-10-26,0.66,US2Y
2015-10-26,15.29,VIX
2015-10-26,2.07,US10Y
2015-10-27,0.65,US2Y
2015-10-27,15.43,VIX
2015-10-27,2.05,US10Y
2015-10-28,0.73,US2Y
2015-10-28,2.1,US10Y
2015-10-28,14.33,VIX
2015-10-29,2.19,US10Y
2015-10-29,14.61,VIX
2015-10-29,0.75,US2Y
2015-10-30,2.16,US10Y
2015-10-30,15.07,VIX
2015-10-30,0.75,US2Y
2015-11-02,2.2,US10Y
2015-11-02,14.15,VIX
2015-11-02,0.77,US2Y
2015-11-03,2.23,US10Y
2015-11-03,14.54,VIX
2015-11-03,0.8,US2Y
2015-11-04,2.25,US10Y
2015-11-04,0.84,US2Y
2015-11-04,15.51,VIX
2015-11-05,0.85,US2Y
2015-11-05,15.05,VIX
2015-11-05,2.26,US10Y
2015-11-06,0.9,US2Y
2015-11-06,14.33,VIX
2015-11-06,2.34,US10Y
2015-11-09,16.52,VIX
2015-11-09,2.36,US10Y
2015-11-09,0.89,US2Y
2015-11-10,2.32,US10Y
2015-11-10,0.87,US2Y
2015-11-10,15.29,VIX
2015-11-11,,US10Y
2015-11-11,,US2Y
2015-11-11,16.06,VIX
2015-11-12,2.32,US10Y
2015-11-12,18.37,VIX
2015-11-12,0.89,US2Y
2015-11-13,20.08,VIX
2015-11-13,0.86,US2Y
2015-11-13,2.28,US10Y
2015-11-16,18.16,VIX
2015-11-16,0.88,US2Y
2015-11-16,2.27,US10Y
2015-11-17,18.84,VIX
2015-11-17,0.86,US2Y
2015-11-17,2.25,US10Y
2015-11-18,16.85,VIX
2015-11-18,0.9,US2Y
2015-11-18,2.27,US10Y
2015-11-19,16.99,VIX
2015-11-19,2.24,US10Y
2015-11-19,0.91,US2Y
2015-11-20,2.26,US10Y
2015-11-20,0.93,US2Y
2015-11-20,15.47,VIX
2015-11-23,2.25,US10Y
2015-11-23,0.94,US2Y
2015-11-23,15.62,VIX
2015-11-24,0.93,US2Y
2015-11-24,15.93,VIX
2015-11-24,2.24,US10Y
2015-11-25,15.19,VIX
2015-11-25,2.23,US10Y
2015-11-25,0.93,US2Y
2015-11-26,,VIX
2015-11-26,,US10Y
2015-11-26,,US2Y
2015-11-27,15.12,VIX
2015-11-27,0.92,US2Y
2015-11-27,2.22,US10Y
2015-11-30,0.94,US2Y
2015-11-30,2.21,US10Y
2015-11-30,16.13,VIX
2015-12-01,0.91,US2Y
2015-12-01,2.15,US10Y
2015-12-01,14.67,VIX
2015-12-02,0.94,US2Y
2015-12-02,2.18,US10Y
2015-12-02,15.91,VIX
2015-12-03,0.96,US2Y
2015-12-03,2.33,US10Y
2015-12-03,18.11,VIX
2015-12-04,2.28,US10Y
2015-12-04,14.81,VIX
2015-12-04,0.96,US2Y
2015-12-07,15.84,VIX
2015-12-07,2.23,US10Y
2015-12-07,0.94,US2Y
2015-12-08,17.6,VIX
2015-12-08,2.24,US10Y
2015-12-08,0.94,US2Y
2015-12-09,2.22,US10Y
2015-12-09,0.93,US2Y
2015-12-09,19.61,VIX
2015-12-10,0.95,US2Y
2015-12-10,19.34,VIX
2015-12-10,2.24,US10Y
2015-12-11,0.88,US2Y
2015-12-11,24.39,VIX
2015-12-11,2.13,US10Y
2015-12-14,0.97,US2Y
2015-12-14,2.23,US10Y
2015-12-14,22.73,VIX
2015-12-15,2.28,US10Y
2015-12-15,20.95,VIX
2015-12-15,0.98,US2Y
2015-12-16,2.3,US10Y
2015-12-16,17.86,VIX
2015-12-16,1.02,US2Y
2015-12-17,2.24,US10Y
2015-12-17,18.94,VIX
2015-12-17,1.0,US2Y
2015-12-18,2.19,US10Y
2015-12-18,20.7,VIX
2015-12-18,0.97,US2Y
2015-12-21,2.2,US10Y
2015-12-21,0.96,US2Y
2015-12-21,18.7,VIX
2015-12-22,0.99,US2Y
2015-12-22,2.24,US10Y
2015-12-22,16.6,VIX
2015-12-23,1.01,US2Y
2015-12-23,2.27,US10Y
2015-12-23,15.57,VIX
2015-12-24,1.03,US2Y
2015-12-24,2.25,US10Y
2015-12-24,15.74,VIX
2015-12-25,,US2Y
2015-12-25,,US10Y
2015-12-25,,VIX
2015-12-28,2.24,US10Y
2015-12-28,16.91,VIX
2015-12-28,1.05,US2Y
2015-12-29,16.08,VIX
2015-12-29,1.09,US2Y
2015-12-29,2.32,US10Y
2015-12-30,17.29,VIX
2015-12-30,1.08,US2Y
2015-12-30,2.31,US10Y
2015-12-31,18.21,VIX
2015-12-31,1.06,US2Y
2015-12-31,2.27,US10Y
2016-01-01,,VIX
2016-01-01,,US2Y
2016-01-01,,US10Y
2016-01-04,1.02,US2Y
2016-01-04,2.24,US10Y
2016-01-04,20.7,VIX
2016-01-05,2.25,US10Y
2016-01-05,1.04,US2Y
2016-01-05,19.34,VIX
2016-01-06,2.18,US10Y
2016-01-06,0.99,US2Y
2016-01-06,20.59,VIX
2016-01-07,0.96,US2Y
2016-01-07,24.99,VIX
2016-01-07,2.16,US10Y
2016-01-08,27.01,VIX
2016-01-08,2.13,US10Y
2016-01-08,0.94,US2Y
2016-01-11,24.3,VIX
2016-01-11,2.17,US10Y
2016-01-11,0.94,US2Y
2016-01-12,22.47,VIX
2016-01-12,0.93,US2Y
2016-01-12,2.12,US10Y
2016-01-13,0.91,US2Y
2016-01-13,2.08,US10Y
2016-01-13,25.22,VIX
2016-01-14,0.9,US2Y
2016-01-14,2.1,US10Y
2016-01-14,23.95,VIX
2016-01-15,0.85,US2Y
2016-01-15,2.03,US10Y
2016-01-15,27.02,VIX
2016-01-18,,US2Y
2016-01-18,,US10Y
2016-01-18,,VIX
2016-01-19,0.88,US2Y
2016-01-19,26.05,VIX
2016-01-19,2.06,US10Y
2016-01-20,27.59,VIX
2016-01-20,2.01,US10Y
2016-01-20,0.85,US2Y
2016-01-21,26.69,VIX
2016-01-21,2.02,US10Y
2016-01-21,0.84,US2Y
2016-01-22,2.07,US10Y
2016-01-22,0.88,US2Y
2016-01-22,22.34,VIX
2016-01-25,0.88,US2Y
2016-01-25,24.15,VIX
2016-01-25,2.03,US10Y
2016-01-26,0.85,US2Y
2016-01-26,22.5,VIX
2016-01-26,2.01,US10Y
2016-01-27,0.84,US2Y
2016-01-27,2.02,US10Y
2016-01-27,23.11,VIX
2016-01-28,2.0,US10Y
2016-01-28,22.42,VIX
2016-01-28,0.83,US2Y
2016-01-29,1.94,US10Y
2016-01-29,20.2,VIX
2016-01-29,0.76,US2Y
2016-02-01,1.97,US10Y
2016-02-01,19.98,VIX
2016-02-01,0.81,US2Y
2016-02-02,1.87,US10Y
2016-02-02,21.98,VIX
2016-02-02,0.75,US2Y
2016-02-03,21.65,VIX
2016-02-03,0.72,US2Y
2016-02-03,1.88,US10Y
2016-02-04,0.7,US2Y
2016-02-04,21.84,VIX
2016-02-04,1.87,US10Y
2016-02-05,0.74,US2Y
2016-02-05,23.38,VIX
2016-02-05,1.86,US10Y
2016-02-08,26.0,VIX
2016-02-08,1.75,US10Y
2016-02-08,0.66,US2Y
2016-02-09,1.74,US10Y
2016-02-09,0.69,US2Y
2016-02-09,26.54,VIX
2016-02-10,1.71,US10Y
2016-02-10,0.71,US2Y
2016-02-10,26.29,VIX
2016-02-11,1.63,US10Y
2016-02-11,28.14,VIX
2016-02-11,0.64,US2Y
2016-02-12,25.4,VIX
2016-02-12,0.71,US2Y
2016-02-12,1.74,US10Y
2016-02-15,,VIX
2016-02-15,,US2Y
2016-02-15,,US10Y
2016-02-16,24.11,VIX
2016-02-16,0.74,US2Y
2016-02-16,1.78,US10Y
2016-02-17,22.31,VIX
2016-02-17,0.74,US2Y
2016-02-17,1.81,US10Y
2016-02-18,21.64,VIX
2016-02-18,1.75,US10Y
2016-02-18,0.71,US2Y
2016-02-19,1.76,US10Y
2016-02-19,0.76,US2Y
2016-02-19,20.53,VIX
2016-02-22,1.77,US10Y
2016-02-22,0.78,US2Y
2016-02-22,19.38,VIX
2016-02-23,0.76,US2Y
2016-02-23,20.98,VIX
2016-02-23,1.74,US10Y
2016-02-24,20.72,VIX
